	X	Y0	Y1
1	67.83246295	70.92675667	78.85881205
2	75.80006086	78.7725114	85.3194711
3	57.7350505	62.31019495	66.61852413
4	58.91274725	63.38110477	70.6979985
5	72.1224592	75.80826697	78.29873954
6	70.73088375	71.73522585	80.49362738
7	43.48139638	49.3950011	56.00208971
8	57.50841769	62.67314229	68.59752242
9	59.9052855	63.92852889	72.32372892
10	55.22156688	61.42937335	68.18955767
11	53.5575218	57.11956477	67.63774323
12	62.66545337	66.12608285	72.95545015
13	68.7192776	72.02934524	79.89674371
14	60.13092193	65.62637153	69.79574607
15	83.684255	86.92029961	92.4565254
16	62.26178351	64.19412954	72.79907359
17	58.37114832	64.15734369	66.51896148
18	61.61822675	65.5877931	72.38535127
19	63.80305447	68.90387149	72.66742552
20	76.67510395	80.52091184	85.11299908
21	88.02096998	88.27642971	96.39689538
22	62.85473354	66.38357517	72.21777967
23	57.75889591	60.88188168	68.41719339
24	75.6482248	79.29151758	85.8570027
25	71.10901698	72.37317674	81.27181132
26	68.80993262	72.03431769	79.6442057
27	62.02760559	64.36940169	73.61509284
28	76.36486293	78.3743605	84.94046202
29	57.09305304	61.2900477	69.06012086
30	74.9599625	78.56463488	85.1700698
31	59.29779142	61.40418717	70.30135764
32	53.7684223	56.94363568	65.14822146
33	72.95458267	76.67856782	81.23779605
34	69.85051182	71.44404356	79.49780068
35	64.84517878	67.75612879	73.75048871
36	76.03350391	76.84667962	84.25858936
37	69.1445433	70.94415662	79.65304625
38	61.78965888	64.15600811	72.83571613
39	74.01545004	76.52683392	83.86821161
40	59.73106924	64.26269876	72.27352188
41	64.93552102	68.55835762	74.21526634
42	55.51648346	61.72504885	65.85870386
43	63.38304605	66.69962498	74.82638736
44	59.15823721	65.36241365	70.5608362
45	46.08729384	51.44418697	57.90799579
46	79.28877144	80.56774024	90.85357551
47	73.62834451	77.74102527	83.34065948
48	53.11973763	57.08220666	66.13240583
49	71.83854407	74.9670687	81.63142912
50	72.9274012	76.32662519	81.74044733
51	64.0681208	67.16101793	72.55687807
52	61.33187041	62.94281402	71.46098367
53	54.17798388	58.80392682	66.49582316
54	56.06863935	60.09295733	66.48113314
55	58.13573085	61.36193536	69.39163167
56	71.49826081	74.45220104	81.65059957
57	69.25809718	72.7595766	79.20517761
58	68.79337193	71.74355319	78.02404392
59	73.64794028	74.73400595	84.30346422
60	59.61288396	62.14599562	70.31611408
61	60.52024489	64.48426394	70.97035219
62	51.78221782	56.41863172	65.73745253
63	59.44668501	63.89394977	71.65201144
64	65.79024409	68.45450876	74.83500852
65	70.96174429	74.09698747	80.46510312
66	73.69796938	75.34455903	83.97888794
67	62.72501485	67.01759419	72.8666883
68	60.67538299	66.22459659	71.0366158
69	69.92493797	72.68048003	78.41328102
70	64.45446131	66.95313657	76.63750337
71	79.84189006	81.5094693	88.93916062
72	69.96685064	72.9271756	79.18663808
73	61.5668401	64.01260214	71.49613951
74	59.25402202	64.81883615	72.38427649
75	67.35782895	69.58265893	77.16316949
76	66.22849821	69.36870334	75.67089118
77	60.27805955	63.25111214	70.41699631
78	59.19318738	61.88132605	70.58847128
79	57.44651841	62.68387182	68.40597232
80	61.07409758	65.32762876	71.56874255
81	68.02269131	70.88291296	77.32867161
82	73.29405054	75.32125789	83.59358672
83	71.47931078	72.16449442	79.98765319
84	53.58116432	58.85633688	65.68403065
85	75.1086965	77.4529127	85.29054397
86	76.63533169	77.73177142	85.69796835
87	74.15043469	77.26935055	83.90399694
88	80.46835844	80.8332578	88.61872013
89	42.93990275	47.65494794	56.32530632
90	62.05667323	66.33426674	72.97219228
91	58.53047185	63.48804303	71.34013899
92	69.00109776	71.80732342	78.51099914
93	73.18248871	75.81078152	82.83744679
94	66.3350938	70.43676892	76.16465455
95	74.53218128	77.09394815	83.07233138
96	84.7099052	86.11691283	93.47321148
97	58.01620897	61.56781438	68.55264368
98	54.74140572	58.39940682	68.65915844
99	81.09060554	82.47284468	89.31809581
100	43.71579531	47.26663143	56.30052009
101	60.52291506	64.21028708	70.85237181
102	66.52825758	70.3257718	75.82239176
103	86.73112927	87.91513472	95.994848
104	66.07769603	68.98320496	78.3506413
105	57.9775568	60.98402795	70.80051851
106	65.41529587	68.92070727	76.22118834
107	53.9650763	58.44203698	66.56611146
108	71.29115794	71.46132711	82.36984549
109	78.25853646	79.86186948	87.61456756
110	56.34213076	61.2995154	67.98999583
111	59.02542314	63.60985753	69.85036452
112	72.7934295	75.38728666	83.10521015
113	61.94514488	64.49143052	72.52957396
114	53.36398406	58.22887764	64.24737385
115	62.90560464	64.69813972	72.1251883
116	69.93058899	74.61026921	78.3872992
117	69.33596154	72.87315501	78.19423411
118	71.37607027	75.65257809	81.90364628
119	67.21108199	70.57427237	77.42560124
120	48.21241219	51.58886743	60.5078494
121	66.0891699	70.23399655	74.36969141
122	71.02073769	73.60672082	80.10110898
123	78.91882796	79.29438487	87.60650325
124	62.55054581	64.1569287	73.69503735
125	68.07650689	73.63465461	78.79616297
126	58.07903396	62.75588717	68.0904985
127	69.13369604	73.31356408	76.7912113
128	53.45801345	58.41512051	65.1695563
129	56.85789453	62.18740452	70.68349762
130	67.0867608	72.83167764	75.74605702
131	59.80878795	63.58228833	71.98429298
132	67.36236039	71.16764369	78.15360214
133	63.50511447	67.35147963	72.46557893
134	83.63647544	83.20166557	90.56823898
135	82.35122635	84.62868725	92.34303705
136	58.84514849	62.55487176	69.81705934
137	82.63757362	84.73001427	92.29871926
138	57.26210688	61.20432532	69.45446722
139	70.22863651	73.286364	79.35174393
140	50.60061411	55.27902021	62.00575785
141	65.59258097	68.15587263	76.42303652
142	62.739962	67.20727461	72.45549762
143	66.17541753	66.87491259	78.05027653
144	82.12605879	82.96397443	91.08208803
145	67.01482715	70.75960643	78.41203704
146	73.55733479	74.91277185	85.13611496
147	56.13222816	60.36119989	66.07506004
148	55.17795602	60.00797602	66.5887208
149	53.53156923	58.11878984	66.26818388
150	54.34388123	60.38622188	67.50585939
151	60.8693373	64.1282389	70.31172289
152	66.65177732	69.72978476	76.87964642
153	72.40346006	73.90907612	81.13221359
154	71.7150387	75.314578	80.37186327
155	69.2617517	71.42422459	80.57267146
156	79.86806988	81.18795752	88.97074054
157	83.80173135	84.80388985	91.75756403
158	61.68952619	66.28269675	71.54810104
159	55.29468417	58.67805739	66.79139348
160	51.5720224	56.01502063	62.79440724
161	56.69094213	61.84964438	69.28775066
162	74.47831817	77.38590603	84.13293616
163	65.72925854	69.31547147	77.11966682
164	76.83558356	80.10742039	86.63270467
165	76.51360688	78.5226039	86.18503412
166	71.91863473	73.99938979	82.39362502
167	66.76784177	68.39325135	77.72805718
168	61.00578823	66.85934779	71.16353336
169	72.25294281	77.69438643	82.23562284
170	64.44314085	70.06220619	73.03363439
171	63.42246182	67.89899902	75.15424693
172	62.62893635	66.2863926	74.78533747
173	83.12218109	84.32051355	93.43244431
174	72.85921507	76.42101231	83.46420516
175	59.35508106	62.46052818	70.6233237
176	63.62842325	68.19426826	73.83463046
177	64.88657175	68.77887958	74.46462484
178	70.78950979	75.2051626	79.03193903
179	50.97017095	55.40544948	63.06500559
180	75.00552356	77.7661285	85.00867998
181	45.58379196	50.03280412	55.73568101
182	80.95648705	81.79745734	89.04507808
183	80.70905948	82.9124382	91.16025339
184	63.44376766	68.04473344	72.81639139
185	58.22516326	63.12883602	69.45533763
186	67.15606367	70.18594463	76.93513907
187	41.40895994	48.75324412	55.63458903
188	47.80582925	53.25553249	61.27964802
189	76.89501018	79.48351181	85.9906808
190	71.180203	74.20922345	81.24333276
191	71.4881045	73.14300467	81.46890195
192	56.85557388	61.26015276	66.66888487
193	60.98995322	66.11022767	72.76928128
194	71.27697702	73.58778675	80.79387921
195	61.76327031	65.92382504	72.5791065
196	69.66950451	71.1657539	81.69830615
197	60.71543781	64.40376432	71.63722061
198	50.20519559	55.6995415	62.06919175
199	53.13064244	57.57872298	64.69021376
200	56.24480648	61.20214441	68.47073707
201	59.54017678	63.85635437	69.6959523
202	74.50869793	75.71457792	85.0180491
203	77.528128	78.92642627	88.04420376
204	52.58710632	56.92078776	64.58251299
205	63.73390903	66.69436767	74.39431754
206	54.93187724	59.33545213	66.47141847
207	67.80722786	70.10245395	78.28728111
208	68.0122599	71.64963337	79.53821331
209	63.64112999	67.26491698	74.21729028
210	62.72308079	65.80486197	73.82825326
211	68.48801513	72.98336041	80.01384118
212	57.83849043	62.38924286	69.70820488
213	63.83465683	67.45408484	72.99228175
214	73.68842263	77.41653349	83.54900132
215	66.55681092	71.06440048	78.08741406
216	55.09616598	59.68733572	66.33566899
217	55.05987501	59.16213502	66.17524865
218	71.38398044	73.83451306	80.4150744
219	67.11858975	69.49314949	77.22625453
220	46.57790751	51.37972366	58.22058376
